feature,rfe_inclusion_prob,lasso_inclusion_prob
HG3627-HT3836_at,0.1111111111111111,0.0
HG363-HT363_at,0.1111111111111111,0.0
HG3733-HT4003_at,0.2222222222222222,0.0
HG384-HT384_at,0.3333333333333333,0.0
HG3930-HT4200_at,0.3333333333333333,0.0
HG3934-HT4204_at,0.1111111111111111,0.0
HG3942-HT4212_at,0.1111111111111111,0.0
HG3945-HT4215_at,1.0,0.0
HG3971-HT4241_at,0.1111111111111111,0.0
HG3987-HT4257_at,0.2222222222222222,0.0
HG4018-HT4288_at,0.7777777777777778,0.0
HG4051-HT4321_at,0.1111111111111111,0.0
HG4058-HT4328_at,0.2222222222222222,0.0
HG4073-HT4343_at,0.2222222222222222,0.0
HG4074-HT4344_at,0.1111111111111111,0.0
HG4114-HT4384_at,0.1111111111111111,0.0
HG4128-HT4398_at,0.4444444444444444,0.0
HG415-HT415_at,0.1111111111111111,0.0
HG4157-HT4427_at,0.1111111111111111,0.0
HG4165-HT4435_at,0.2222222222222222,0.0
HG4178-HT4448_at,0.1111111111111111,0.0
HG4185-HT4455_at,0.1111111111111111,0.0
HG4243-HT4513_at,0.1111111111111111,0.0
HG4310-HT4580_at,0.1111111111111111,0.0
HG4319-HT4589_at,0.1111111111111111,0.0
HG4321-HT4591_at,0.3333333333333333,0.0
HG4411-HT4681_at,0.2222222222222222,0.0
HG4433-HT4703_at,0.2222222222222222,0.0
HG4460-HT4729_at,0.1111111111111111,0.0
HG4582-HT4987_at,0.5555555555555556,0.0
HG4662-HT5075_at,0.7777777777777778,0.0
HG4716-HT5158_at,0.1111111111111111,0.0
HG4740-HT5187_at,0.3333333333333333,0.0
HG4749-HT5197_at,0.1111111111111111,0.0
HG613-HT613_at,0.2222222222222222,0.0
HG64-HT64_at,0.1111111111111111,0.0
HG732-HT732_at,0.1111111111111111,0.0
HG821-HT821_at,0.6666666666666666,0.0
HG825-HT825_at,0.1111111111111111,0.0
HG831-HT831_at,0.1111111111111111,0.0
HG870-HT870_at,0.2222222222222222,0.0
HG987-HT987_at,0.2222222222222222,0.0
J00073_at,0.1111111111111111,0.0
J00123_at,0.1111111111111111,0.0
J00124_at,0.3333333333333333,0.0
J00287_at,0.1111111111111111,0.0
J00301_at,0.1111111111111111,0.0
J02874_at,0.5555555555555556,0.0
J02888_at,0.3333333333333333,0.0
J02902_at,0.1111111111111111,0.0
J02906_at,0.3333333333333333,0.0
J02963_at,0.4444444444444444,0.0
J03040_at,0.7777777777777778,0.0
J03069_rna1_at,0.2222222222222222,0.0
J03161_at,0.1111111111111111,0.0
J03459_at,0.4444444444444444,0.0
J03473_at,0.3333333333333333,0.0
J03589_at,0.6666666666666666,0.0
J03592_at,0.1111111111111111,0.0
J03600_at,0.1111111111111111,0.0
J03764_at,0.1111111111111111,0.0
J03779_at,0.4444444444444444,0.0
J03798_at,0.6666666666666666,0.0
J03810_at,0.1111111111111111,0.0
J03824_at,0.6666666666666666,0.0
J03909_at,0.2222222222222222,0.0
J03925_at,0.4444444444444444,0.0
J03930_at,0.1111111111111111,0.0
J04027_at,0.7777777777777778,0.0
J04031_at,0.1111111111111111,0.0
J04056_at,0.2222222222222222,0.0
J04101_at,0.8888888888888888,0.0
J04102_at,0.3333333333333333,0.0
J04111_at,0.3333333333333333,0.0
J04132_at,0.4444444444444444,0.0
J04164_at,0.8888888888888888,0.0
J04469_at,1.0,0.0
J04605_at,0.2222222222222222,0.0
J04615_at,0.4444444444444444,0.0
J04739_at,0.4444444444444444,0.0
J04760_at,0.1111111111111111,0.0
J04809_rna1_at,0.1111111111111111,0.0
J04823_rna1_at,0.7777777777777778,0.0
J04948_at,0.1111111111111111,0.0
J04990_at,0.7777777777777778,0.0
J05032_at,0.1111111111111111,0.0
J05125_at,0.1111111111111111,0.0
J05158_at,0.1111111111111111,0.0
J05243_at,1.0,0.0
J05249_at,0.1111111111111111,0.0
J05257_at,0.1111111111111111,0.0
J05448_at,0.1111111111111111,0.0
J05500_at,0.6666666666666666,0.0
J05556_at,0.7777777777777778,0.0
K01396_at,0.6666666666666666,0.0
K01884_at,0.1111111111111111,0.0
K02100_at,0.1111111111111111,0.0
K02545_cds2_at,0.1111111111111111,0.0
K03195_at,0.2222222222222222,0.0
K03430_at,0.3333333333333333,0.0
K03474_at,0.3333333333333333,0.0
K03515_at,1.0,0.0
L00354_at,0.4444444444444444,0.0
L00635_at,0.1111111111111111,0.0
L01042_at,0.2222222222222222,0.0
L01087_at,0.1111111111111111,0.0
L01664_at,0.6666666666666666,0.0
L02932_at,0.2222222222222222,0.0
L03532_at,0.3333333333333333,0.0
L03785_at,0.3333333333333333,0.0
L04270_at,0.1111111111111111,0.0
L04656_at,0.2222222222222222,0.0
L04733_at,0.2222222222222222,0.0
L04947_at,0.1111111111111111,0.0
L05147_at,0.1111111111111111,0.0
L05148_at,1.0,0.0
L05424_cds2_at,0.3333333333333333,0.0
L06419_at,0.2222222222222222,0.0
L06505_at,0.3333333333333333,0.0
L06845_at,0.1111111111111111,0.0
L06895_at,0.2222222222222222,0.0
L07033_at,0.1111111111111111,0.0
L07044_at,0.2222222222222222,0.0
L07515_at,0.1111111111111111,0.0
L07541_at,0.3333333333333333,0.0
L07548_at,1.0,0.0
L07633_at,1.0,0.0
L07738_at,0.3333333333333333,0.0
L07758_at,0.7777777777777778,0.0
L08069_at,0.4444444444444444,0.0
L08177_at,0.7777777777777778,0.0
L08246_at,0.5555555555555556,0.0
L08488_at,0.2222222222222222,0.0
L08666_at,0.4444444444444444,0.0
L09235_at,0.6666666666666666,0.0
L09260_at,0.2222222222222222,0.0
L09708_at,0.4444444444444444,0.0
L09717_at,1.0,0.0
L10373_at,0.7777777777777778,0.0
L11285_at,0.3333333333333333,0.0
L11329_at,0.4444444444444444,0.0
L11353_at,0.3333333333333333,0.0
L11369_at,0.1111111111111111,0.0
L11372_at,0.2222222222222222,0.0
L11373_at,0.7777777777777778,0.0
L11669_at,1.0,0.0
L11708_at,0.1111111111111111,0.0
L12392_at,0.1111111111111111,0.0
L12535_at,0.6666666666666666,0.0
L12701_cds2_at,0.2222222222222222,0.0
L13203_at,0.2222222222222222,0.0
L13210_at,0.2222222222222222,0.0
L13278_at,0.5555555555555556,0.0
L13286_at,0.1111111111111111,0.0
L13329_at,0.5555555555555556,0.0
L13391_at,0.2222222222222222,0.0
L13436_at,0.2222222222222222,0.0
L13761_rna1_at,0.6666666666666666,0.0
L13800_at,0.2222222222222222,0.0
L13972_at,0.1111111111111111,0.0
L13977_at,1.0,0.0
L14542_at,0.1111111111111111,0.0
L14565_at,0.3333333333333333,0.0
L14754_at,0.1111111111111111,0.0
L14787_at,0.5555555555555556,0.0
L14812_at,0.1111111111111111,0.0
L14856_at,0.2222222222222222,0.0
L14927_at,0.1111111111111111,0.0
L15388_at,0.2222222222222222,0.0
L15533_rna1_at,0.1111111111111111,0.0
L15702_at,0.1111111111111111,0.0
L16464_at,0.1111111111111111,0.0
L16842_at,0.1111111111111111,0.0
L16895_at,0.1111111111111111,0.0
L16991_at,0.6666666666666666,0.0
L17128_at,0.1111111111111111,0.0
L17131_rna1_at,0.3333333333333333,0.0
L17327_at,0.1111111111111111,0.0
L17330_at,0.1111111111111111,0.0
L18960_at,0.1111111111111111,0.0
L19161_at,0.1111111111111111,0.0
L19267_at,0.7777777777777778,0.0
L19314_at,0.1111111111111111,0.0
L19437_at,1.0,0.0
L19593_at,0.2222222222222222,0.0
L19605_at,0.1111111111111111,0.0
L19711_at,0.1111111111111111,0.0
L19783_at,0.1111111111111111,0.0
L19871_at,0.2222222222222222,0.0
L19872_at,0.2222222222222222,0.0
L20010_at,0.3333333333333333,0.0
L20298_at,0.8888888888888888,0.0
L20320_at,0.1111111111111111,0.0
L20321_at,0.1111111111111111,0.0
L20348_at,0.1111111111111111,0.0
L20591_at,0.5555555555555556,0.0
L20773_at,0.1111111111111111,0.0
L20852_at,0.4444444444444444,0.0
L20941_at,0.6666666666666666,0.0
L20971_at,0.2222222222222222,0.0
L21936_at,0.1111111111111111,0.0
L21954_at,1.0,0.0
L22005_at,0.1111111111111111,0.0
L22009_at,0.8888888888888888,0.0
L22075_at,0.1111111111111111,0.0
L22342_at,0.5555555555555556,0.0
L22343_at,0.2222222222222222,0.0
L22548_at,0.8888888888888888,0.0
L23116_at,0.3333333333333333,0.0
L23852_at,0.1111111111111111,0.0
L23959_at,0.1111111111111111,0.0
L25080_at,0.6666666666666666,0.0
L25444_at,0.3333333333333333,0.0
L25798_at,0.2222222222222222,0.0
L25876_at,0.1111111111111111,0.0
L26336_at,0.2222222222222222,0.0
L26494_at,0.1111111111111111,0.0
L27080_at,0.1111111111111111,0.0
L27476_at,0.4444444444444444,0.0
